SMI,signal
64.3530689823682,54.9695443455387
64.6116511446791,56.8979657053668
64.4977796149619,58.4179284872858
65.1988904182037,59.7741208734694
61.8801311983225,60.19532293844
58.8361835006085,59.9234950508737
52.3712427586921,58.4130445924374
44.8698153472633,55.7043987434026
41.6168078183698,52.886880558396
39.2671714835393,50.1629387434247
37.2184166191798,47.5740343185757
31.6350890308122,44.386245261023
25.6196494226544,40.6329260933493
18.6114187589847,36.2286246264764
10.3922241087817,31.0613445229374
3.37929692246162,25.5249350028423
-4.53764730380644,19.5124185415125
-10.338763101622,13.5421822128856
-10.7103190634606,8.69168195761639
-8.5233950977497,5.24866654654317
-4.32325804786741,3.33428162766106
1.46193658781294,2.95981261969143
6.78495690328354,3.72484147640986
13.1089668134085,5.60166654380959
19.6180972419469,8.40495268343705
25.578370583639,11.8396362634774
31.018680631593,15.6754451371006
35.5382660300312,19.6480093156867
39.7244977724138,23.6633070070321
44.1426885604492,27.7591833177155
46.8977253042606,31.5868917150246
45.9931977702574,34.4681529260711
42.3010814962813,36.0347386401132
38.2731070826843,36.4824123286274
31.5682788971171,35.4995856423253
26.669496551418,33.7335678241439
24.7392675796235,31.9347077752398
24.6342887216022,30.4746239645123
26.011052477691,29.581909667148
28.3075343873765,29.3270346111937
30.7353773930721,29.6087031675694
32.2480413608617,30.1365708062279
33.5317221786464,30.8156010807116
33.0948525510234,31.2714513747739
31.77906970244,31.3729750403071
31.7465206686853,31.4476841659828
34.0183361616101,31.9618145651082
35.8340876644592,32.7362691849784
35.8139406417566,33.3518034763341
37.4072980326842,34.1629023876041
39.4823811945039,35.226798148984
41.1247443503725,36.4063873892617
40.0256359319321,37.1302370977958
38.8154343898205,37.4672765562008
37.4256854688122,37.458958338723
31.1057427430363,36.1883152195857
26.8304968880932,34.3167515532872
25.3030158140215,32.5140044054341
25.5876706840344,31.1287376611541
27.5277137892285,30.408532886769
31.489264948211,30.6246792990574
35.4459303445119,31.5889295081483
37.7319957208021,32.8175427506791
36.1006874264206,33.4741716858274
35.2265504771699,33.8246474440959
30.7924920050416,33.2182163562851
22.3377008735957,31.0421132597472
11.2549304414591,27.0846766960896
5.1909559068208,22.7059325382358
2.72070442663268,18.7088869159152
0.321647846760705,15.0314391020843
-1.26504272301444,11.7721427370645
-6.48364835511417,8.1209845186288
-11.9827930822559,4.10022899845187
-16.7102175867045,-0.0618603185793964
-18.8180698817285,-3.81310223120921
-20.780988763602,-7.20667953768776
-21.0145376645217,-9.96825116305456
-21.6196885156891,-12.2985386335815
-20.3008762056074,-13.8990061479866
-15.6696474396662,-14.2531344063226
-12.399444971114,-13.8823965192809
-10.259686654867,-13.1578545463981
